"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
2020-06-07;1,04283164650905;0,942883408087459;1,14774240988767
2020-06-08;1,04302071947252;0,943298281964825;1,14768176902526
2020-06-09;0,944042044269052;0,849666038986877;1,04331654758533
2020-06-10;0,9820268626875;0,885759954497974;1,08318826285626
2020-06-11;0,934212532441117;0,840190060975377;1,03314981085301
2020-06-12;0,955716836680567;0,86017370089082;1,0562190493187
2020-06-13;1,01144338586814;0,912545998877314;1,11535549064211
2020-06-14;1,01530848592429;0,915906343558375;1,11975771895594
2020-06-15;1,11509545564454;1,01074556571753;1,2244979011461
2020-06-16;1,0168770489364;0,917826528632436;1,12092994873215
2020-06-17;1,042267362506;0,942495304959421;1,14698683131871
2020-06-18;0,942156085592119;0,847842752643962;1,04137155847581
2020-06-19;0,996003409541178;0,898986119159056;1,09792039456666
2020-06-20;1,01754093847483;0,919292047118901;1,12070610513432
2020-06-21;1,03154847785236;0,932560362731778;1,13545778726526
2020-06-22;1,07013556533828;0,969403602486316;1,17577506058481
2020-06-23;1,08428266369568;0,983286426956118;1,19014528143092
2020-06-24;1,10242727312546;1,00124965950096;1,20840486148667
2020-06-25;1,10004733592493;0,999871578453434;1,20493686464268
2020-06-26;1,20459508434293;1,10069844656182;1,31311022252097
2020-06-27;1,23328983772544;1,12964980125025;1,34141337816474
2020-06-28;1,20734838513543;1,10682737168918;1,31217594708901
2020-06-29;1,22076674206611;1,12182519173357;1,32382987716194
2020-06-30;1,31265206387825;1,2122168210319;1,41702753022935
2020-07-01;1,36925438190762;1,26926433394415;1,4729814871758
2020-07-02;1,33573367647751;1,2400661202832;1,43490543773883
2020-07-03;1,42341009295285;1,32786802434239;1,52222417458689
2020-07-04;1,44334184450069;1,35062391668923;1,53909408160733
2020-07-05;1,39523062534519;1,30772612166462;1,48552877873577
2020-07-06;1,32006907523078;1,23837549740392;1,4043351114653
2020-07-07;1,29457547183067;1,21660068002517;1,37493794638651
2020-07-08;1,29764730935909;1,22208604208742;1,37544310409014
2020-07-09;1,21820078822886;1,14723386406272;1,29126734287349
2020-07-10;1,21512453219429;1,14613709608585;1,28609959747786
2020-07-11;1,18548815890768;1,11897103893848;1,2538986524091
2020-07-12;1,13784810360483;1,07408347894175;1,20342542967647
