"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
2020-06-07;1,0589492922751;0,957456288399548;1,1654815201795
2020-06-08;1,04404488086879;0,94422452404949;1,14880869904793
2020-06-09;0,937881712384392;0,844121556277596;1,03650840145148
2020-06-10;0,976916406979545;0,881150470595513;1,07755136446678
2020-06-11;0,93493335979934;0,840838341704898;1,03394697704694
2020-06-12;0,961794374715298;0,865643666662058;1,06293569508539
2020-06-13;1,02231889994034;0,922358121820613;1,12734831644281
2020-06-14;1,02522434908354;0,924851410102507;1,13069367040972
2020-06-15;1,12037413987176;1,01553027419112;1,23029447912005
2020-06-16;1,01279390525168;0,91414111002851;1,11642899353214
2020-06-17;1,03140253051213;0,932670519581159;1,13503037976919
2020-06-18;0,932036258166923;0,838735957632318;1,03018604408128
2020-06-19;0,990200158913809;0,893748143354929;1,09152332086437
2020-06-20;1,01823276371958;0,919917073023456;1,12146807229078
2020-06-21;1,03357367979574;0,93439122487686;1,13768699061028
2020-06-22;1,06945257629946;0,968784903270872;1,17502464960464
2020-06-23;1,0783195721904;0,977878771612952;1,1835999907467
2020-06-24;1,09001239641059;0,989974184568026;1,19479652854469
2020-06-25;1,08202376542593;0,983489323530696;1,18519474644695
2020-06-26;1,1805301385554;1,07870910857662;1,28687740227394
2020-06-27;1,20149343896409;1,10052542639326;1,30682936281714
2020-06-28;1,16516189999414;1,068153235007;1,26632663650381
2020-06-29;1,17011683246547;1,07528039116597;1,26890385297209
2020-06-30;1,25465749007975;1,15865959911323;1,35442152065694
2020-07-01;1,30293470416682;1,20778766262045;1,40163779907925
2020-07-02;1,26034466359571;1,17007659889683;1,35391915549196
2020-07-03;1,33397092722573;1,24443219029787;1,42657608209495
2020-07-04;1,34555094882166;1,25911494877439;1,43481567427914
2020-07-05;1,29278093590019;1,21170175650956;1,37644863149814
2020-07-06;1,21946972852063;1,14400182533005;1,29731404913882
2020-07-07;1,19943555176515;1,1271912218917;1,27389209069044
2020-07-08;1,2101015880103;1,13963805846876;1,2826488927098
2020-07-09;1,14220821600133;1,07566827888246;1,21071680656903
2020-07-10;1,14558427370871;1,08054491371274;1,21249751301881
2020-07-11;1,12464566133642;1,06154238205365;1,18954514103864
2020-07-12;1,08519702047704;1,02438294478717;1,1477399193388
2020-07-13;1,04950458621373;0,990617433318219;1,11006792979114
2020-07-14;1,04920214454718;0,990934098836961;1,10911130648808
2020-07-15;1,07843089642337;1,01979102131042;1,13868688051755
2020-07-16;1,06453621865039;1,00678686477314;1,12387332293889
2020-07-17;1,05944349501699;1,00238970581831;1,11805414850425
2020-07-18;1,04418602201695;0,988061137102923;1,10183942144898
2020-07-19;1,04249670630683;0,986843061635322;1,09965545722048
2020-07-20;1,02663944064018;0,971770425387833;1,08299406496839
2020-07-21;1,03399005995495;0,979200882799709;1,09024964829291
2020-07-22;1,09307921238256;1,0369779892244;1,15063752321465
2020-07-23;1,0845702648256;1,02915534402257;1,14141782495492
2020-07-24;1,10512828780255;1,0498303230545;1,16182555093087
2020-07-25;1,11870546418944;1,06380434907206;1,17496845102582
2020-07-26;1,08651701245513;1,03324625056427;1,14110791586144
2020-07-27;1,03884833650192;0,987523082970523;1,09145554724193
2020-07-28;1,03159623514047;0,980953983496554;1,08349512243608
2020-07-29;0,994385941657975;0,944970469327209;1,04504306318968
2020-07-30;1,03158778449962;0,981358892041023;1,08305263769043
2020-07-31;1,05394646401136;1,00327364778326;1,10585011159902
2020-08-01;1,02685099929131;0,977100734886088;1,07781922380447
2020-08-02;1,00450611859878;0,955580572338199;1,05463594032607
2020-08-03;0,970071555957674;0,922144282260746;1,01919591510041
